brand,product_name,slug,direct_product_url,category,subcategory,gender_tags,atmosphere_collection,territory_weather,stability_tier,price_tier,price,manual_images,article_refs,chateau_thoughts,status,notes
Farmhouse Pottery,Silo Garlic Keeper,farmhouse-pottery-silo-garlic-keeper,https://www.farmhousepottery.com/products/silo-garlic-keeper,cooking,countertop vessels,all,Kitchen Counter Objects Worth Leaving Out; Useful Beauty,kitchen ritual / handmade utility / ceramic warmth,1,mid,,,,Keeps garlic visible without making the counter feel busy. Function with a pulse.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Farmhouse Pottery,Silo Pitchers,farmhouse-pottery-silo-pitchers,https://www.farmhousepottery.com/products/silo-pitchers,home,serveware,all,Weeknight Table; Object With Memory; Table Atmosphere,kitchen ritual / handmade utility / ceramic warmth,1,mid,,,,"A pitcher should be able to hold flowers, water, cream, or nothing at all. That flexibility earns space.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Farmhouse Pottery,Pantry Bowl,farmhouse-pottery-pantry-bowl,https://www.farmhousepottery.com/products/pantry-bowl,cooking,prep bowls,all,Kitchen Counter Objects Worth Leaving Out; Slow Weekend Cooking,kitchen ritual / handmade utility / ceramic warmth,1,high,,,,"Sturdy enough for work, beautiful enough for fruit. The best kitchen objects do both.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Felt + Fat,Espresso Cup in Milk,felt-fat-espresso-cup-in-milk,https://www.feltandfat.com/products/espresso-cup-in-milk,cooking,coffee ceramics,all,Morning Ritual; Small Ritual Objects; Better Hotel Energy,espresso ritual / tactile mornings / intimate utility,1,mid,,,,Small enough to make the moment sharper. The hand-feel does more than the shape admits.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Felt + Fat,Coffee Mug in Tenmoku,felt-fat-coffee-mug-in-tenmoku,https://www.feltandfat.com/products/coffee-mug-in-tenmoku,home,mugs,all,Morning Ritual; Things That Improve a Tuesday,espresso ritual / tactile mornings / intimate utility,1,mid,,,,Dark glaze for slow mornings. Handmade without getting clunky.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Felt + Fat,Large Coffee Mug in Milk,felt-fat-large-coffee-mug-in-milk,https://www.feltandfat.com/products/large-coffee-mug-in-milk,home,mugs,all,Morning Ritual; Quiet Rest,espresso ritual / tactile mornings / intimate utility,1,mid,,,,"For the second pour, not the styled first one. Generous, plain, and useful.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Felt + Fat,Cappuccino Cup in Milk,felt-fat-cappuccino-cup-in-milk,https://www.feltandfat.com/products/cappuccino-cup-in-milk,cooking,coffee ceramics,all,Morning Ritual; Small Ritual Objects,espresso ritual / tactile mornings / intimate utility,1,mid,,,,"The middle size is often the one people actually use. Less precious than espresso, more intimate than a mug.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Jacobsen Salt Co.,Pure Flake Sea Salt,jacobsen-salt-co-pure-flake-sea-salt,https://jacobsensalt.com/products/pure-flake-finishing-salt,provisions,salt,all,Pantry Rituals; Weeknight Table; Correct Low,kitchen ritual / mineral texture / finishing touch,1,low,,,,"Finishing salt should live close to the hand. Bright, briny, and useful every day.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Jacobsen Salt Co.,Pure Flake Sea Salt Slide Tin,jacobsen-salt-co-pure-flake-sea-salt-slide-tin,https://jacobsensalt.com/products/pure-flake-sea-salt-slide-tin,provisions,salt,all,Portable Ritual; Picnic Objects; Correct Low,kitchen ritual / mineral texture / finishing touch,1,low,,,,"Pocket salt is a little ridiculous until it becomes indispensable. Picnic logic, not performance.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Jacobsen Salt Co.,Ceramic Arch Salt Cellar,jacobsen-salt-co-ceramic-arch-salt-cellar,https://jacobsensalt.com/products/ceramic-arch-salt-cellar,cooking,salt cellar,all,Kitchen Counter Objects Worth Leaving Out; Small Ritual Objects,kitchen ritual / mineral texture / finishing touch,1,mid,,,,"A salt cellar changes how often you finish properly. Small object, large behavioral shift.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Jacobsen Salt Co.,Flake Salt & Cellar,jacobsen-salt-co-flake-salt-cellar,https://jacobsensalt.com/products/flake-salt-cellar,cooking,salt cellar,all,Pantry Rituals; Table Atmosphere,kitchen ritual / mineral texture / finishing touch,1,mid,,,,"The salt and the vessel arrive as one ritual. Useful, pretty, and not overthought.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Diaspora Co.,Pragati Turmeric,diaspora-co-pragati-turmeric,https://www.diasporaco.com/products/pragati-turmeric,provisions,spices,all,Pantry Depth; Things That Improve a Tuesday,pantry depth / spice warmth / grounded flavor,1,low,$12.50,,,"A pantry staple with actual origin, color, and force. Not a dusty yellow jar.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Diaspora Co.,The Trio,diaspora-co-the-trio,https://www.diasporaco.com/products/the-trio-3-tin,provisions,spices,all,Pantry Depth; Cooking Reset,pantry depth / spice warmth / grounded flavor,1,mid,,,,Three spices that make cooking feel awake again. Useful before they are beautiful.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Diaspora Co.,Whole Seeds Trio,diaspora-co-whole-seeds-trio,https://www.diasporaco.com/products/whole-seeds-trio,provisions,spices,all,Pantry Depth; Slow Weekend Cooking,pantry depth / spice warmth / grounded flavor,1,mid,,,,Whole spices ask for a little more attention. The food pays you back.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Diaspora Co.,Haldi Doodh-les,diaspora-co-haldi-doodh-les,https://www.diasporaco.com/products/haldi-doodh,provisions,tea and spice,all,Rainy Morning Objects; Morning Ritual,pantry depth / spice warmth / grounded flavor,1,low,,,,A warm drink with structure behind it. Comfort without powdered wellness language.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Schoolhouse,Miller Utility Cart,schoolhouse-miller-utility-cart,https://schoolhouse.com/products/miller-utility-cart,home,storage,all,Useful Beauty; Things Worth Leaving Out; Warm Utility,warm utility / domestic glow / American workshop,2,high,,,,A rolling cart that makes storage feel intentional. More workshop than influencer apartment.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Schoolhouse,Sidnie Table Lamp,schoolhouse-sidnie-table-lamp,https://schoolhouse.com/products/sidnie-lamp,home,lighting,all,The Good Lamp Rule; Apartment at 7PM; Rainy Morning Objects,warm utility / domestic glow / American workshop,2,high,,,,"A little charming, but not childish. The right lamp changes the room’s mood immediately.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Schoolhouse,Alabax Small Sconce,schoolhouse-alabax-small-sconce,https://schoolhouse.com/products/alabax-small-sconce,home,lighting,all,The Good Lamp Rule; Warm Minimalism,warm utility / domestic glow / American workshop,2,high,,,,"Utilitarian bones with a warmer face. The kind of light that belongs in a hall, not a showroom.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Schoolhouse,Perkins Hook Mirror,schoolhouse-perkins-hook-mirror,https://schoolhouse.com/products/perkins-hook-mirror,home,entryway,all,Entryway Energy; Useful Beauty,warm utility / domestic glow / American workshop,2,high,,,,A mirror with a job. Entryways need usefulness before they need styling.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Schoolhouse,Eleanor Pull,schoolhouse-eleanor-pull,https://schoolhouse.com/products/eleanor-pull,home,hardware,all,Things That Age Correctly; Small Ritual Objects,warm utility / domestic glow / American workshop,2,low,,,,A tiny hardware upgrade that changes the hand’s experience every day.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Schoolhouse,G40 Matte Porcelain LED Bulb,schoolhouse-g40-matte-porcelain-led-bulb,https://schoolhouse.com/products/g40-matte-porcelain-led-bulb,home,lighting accessories,all,The Good Lamp Rule; Correct Low,warm utility / domestic glow / American workshop,2,low,,,,Sometimes the bulb is the lamp. Warmth starts at the source.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Filson,Large Rugged Twill Duffle Bag,filson-large-rugged-twill-duffle-bag,https://www.filson.com/products/large-rugged-twill-duffle-bag-otter-green-1,travel,bags,men; women,Soft Travel; Things That Age Correctly; Long Weekend,weather / canvas / patina / durable movement,1,high,,,,Looks better after years of handling. That is usually the correct travel test.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Filson,Medium Rugged Twill Duffle Bag,filson-medium-rugged-twill-duffle-bag,https://www.filson.com/products/medium-rugged-twill-duffle-bag,travel,bags,men; women,Soft Travel; Long Weekend; Weathered Movement,weather / canvas / patina / durable movement,1,high,,,,The better size for most lives. Enough capacity without turning every trip into an expedition.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Filson,Rugged Twill Tote Bag,filson-rugged-twill-tote-bag,https://www.filson.com/products/rugged-twill-tote-bag-with-zipper,travel,totes,men; women,Things That Age Correctly; Soft Travel; Everyday Carry,weather / canvas / patina / durable movement,1,high,,,,"A tote that can take weather, groceries, and airport floors without losing dignity.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Leatherology,Large Travel Organizer,leatherology-large-travel-organizer,https://www.leatherology.com/products/large-travel-organizer-navy-blue,travel,organization,men; women,Quiet Transit; Structured Calm; Soft Travel,quiet transit / structured calm / personal order,1,mid,,,,Keeps travel from becoming a pile. Quiet organization without tactical energy.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Leatherology,Nested Travel Organizer Trio,leatherology-nested-travel-organizer-trio,https://www.leatherology.com/products/nested-travel-organizer-trio-navy-blue,travel,organization,men; women,Quiet Transit; Structured Calm; Better Hotel Energy,quiet transit / structured calm / personal order,1,high,,,,Three sizes solve more problems than one perfect pouch. This is order without overbuilding it.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Leatherology,Large Tech Bag Organizer,leatherology-large-tech-bag-organizer,https://www.leatherology.com/products/large-tech-bag-organizer-brown,travel,tech organization,men; women,Quiet Transit; Analog Objects; Structured Calm,quiet transit / structured calm / personal order,1,mid,,,,Chargers are ugly. This keeps them from setting the tone.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
L.L.Bean,Boat and Tote Zip-Top,l-l-bean-boat-and-tote-zip-top,https://www.llbean.com/llb/shop/37037,travel,totes,men; women,Correct Low; Soft Travel; Everyday Carry,generational utility / canvas ease / coastal practicality,2,low,$44.95-$64.95,,,"The democratic tote. No aspiration required, which is why it still works.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
L.L.Bean,Boat and Tote Mini,l-l-bean-boat-and-tote-mini,https://www.llbean.com/llb/shop/33381,accessories,bags,men; women,Correct Low; Small Ritual Objects,generational utility / canvas ease / coastal practicality,2,low,,,,"Tiny enough to feel playful, useful enough not to be a joke.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Heath Ceramics,Bud Vase,heath-ceramics-bud-vase,https://www.heathceramics.com/products/bud-vase,home,vessels,all,Small Ritual Objects; Object With Memory,California light / stoneware permanence / architectural warmth,1,mid,,,,One stem is enough. Heath understands restraint in scale.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Heath Ceramics,Bud Vase in Opaque White,heath-ceramics-bud-vase-in-opaque-white,https://www.heathceramics.com/products/bud-vase-opaque-white,home,vessels,all,Small Ritual Objects; Warm Minimalism,California light / stoneware permanence / architectural warmth,1,mid,$43,,,A small white vessel that earns shelf space without demanding it.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Coyuchi,Three Season Down Duvet Insert,coyuchi-three-season-down-duvet-insert,https://www.coyuchi.com/products/three-season-down-duvet-insert-white,home,bedding,all,Cotton Instead of Plush; Quiet Rest; Better Hotel Energy,washed cotton / softened light / quiet rest,1,high,,,,"Warmth without synthetic bulk. The bed gets softer, not louder.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Coyuchi,Organic Shredded Latex Pillow,coyuchi-organic-shredded-latex-pillow,https://www.coyuchi.com/products/organic-shredded-latex-pillow-alpine-white,home,bedding,all,Quiet Rest; Better Hotel Energy,washed cotton / softened light / quiet rest,1,high,,,,Support that still feels natural. Sleep objects should disappear into use.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Opinel,No.08 Carbon Steel Folding Knife,opinel-no-08-carbon-steel-folding-knife,https://www.opinel-usa.com/products/opinel-no-8-carbon-steel-folding-knife,cooking,picnic tools,men; women,Picnic Objects; Things That Age Correctly; Correct Low,picnic utility / pocket ritual / weathered simplicity,1,low,$22,,,The kind of small tool that becomes yours because it marks and sharpens with use.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Opinel,No.08 Stainless Steel Folding Knife,opinel-no-08-stainless-steel-folding-knife,https://www.opinel-usa.com/products/no-8-opinel-stainless-steel-blade,cooking,picnic tools,men; women,Picnic Objects; Correct Low; Portable Ritual,picnic utility / pocket ritual / weathered simplicity,1,low,,,,"The easier-care version. Less romance than carbon steel, more forgiving in a real bag.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Opinel,No.08 Olive Wood Folding Knife with Sheath,opinel-no-08-olive-wood-folding-knife-with-sheath,https://www.opinel-usa.com/products/wooden-slide-top-no-8-olive-wood-handle-sheath,travel,picnic tools,men; women,Picnic Objects; Long Weekend; Things That Age Correctly,picnic utility / pocket ritual / weathered simplicity,1,mid,,,,"Olive wood makes the utility feel warmer. Still a tool, just one you want to keep close.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
IKEA,FÄRGKLAR 18-Piece Dinnerware Set - Matte Light Turquoise,ikea-f-rgklar-18-piece-dinnerware-set-matte-light-turquoise,https://www.ikea.com/us/en/p/faergklar-18-piece-dinnerware-set-matte-light-turquoise-80564689/,home,dinnerware,all,Correct Low; Weeknight Table; Warm Minimalism,correct low / humble utility / design honesty,2,low,,,,"The accessible dinnerware pick that doesn’t apologize. Matte, simple, useful.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
IKEA,FÄRGKLAR Plate - Matte Light Turquoise,ikea-f-rgklar-plate-matte-light-turquoise,https://www.ikea.com/us/en/p/faergklar-plate-matte-light-turquoise-00477158/,home,dinnerware,all,Correct Low; Weeknight Table,correct low / humble utility / design honesty,2,low,$14.99/4 pack,,,A plate that understands it is a plate. That humility is the whole appeal.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
MUJI,Planting Tree Paper Double Ringed Ruled Notebook 7 mm,muji-planting-tree-paper-double-ringed-ruled-notebook-7-mm,https://www.muji.us/products/planting-tree-paper-double-ringed-ruled-notebook-ea31,living,notebooks,all,Analog Objects; Things That Improve a Tuesday; Correct Low,quiet utility / analog order / humble design,2,low,$2.50-$2.90,,,"Cheap in price, not in usefulness. The kind of notebook that keeps thought moving.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
MUJI,PET Underlay Pencil Board B5,muji-pet-underlay-pencil-board-b5,https://www.muji.us/products/pet-underlay-24aw,living,writing tools,all,Analog Objects; Correct Low,quiet utility / analog order / humble design,2,low,$1.90,,,"A small writing tool for people who notice paper. Almost invisible, which is why it works.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
MUJI,Recycled Polypropylene Strap Weave Basket - Gray,muji-recycled-polypropylene-strap-weave-basket-gray,https://www.muji.us/products/recycled-polypropylene-strap-weave-basket-gray-large-kg10ma4a,home,storage,all,Quiet Storage; Useful Beauty; Correct Low,quiet utility / analog order / humble design,2,low,,,,"Storage that doesn’t pretend to be sculpture. Light, washable, and visually calm.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Purely Sedona,Artesian Spring Water 1 Liter Case,purely-sedona-artesian-spring-water-1-liter-case,https://shop.purelysedona.com/products/purely-sedona-1l-artesian-spring-water-12-bottles,provisions,water,all,Pantry Rituals; Things That Improve a Tuesday; Desert Calm,desert clarity / regional water / glass-bottle ritual,3,mid,$39,,,"Regional water with actual sensory identity. The taste is the reason, not the branding.",READY_CLAUDE_PREFLIGHT,"Direct product page exists, but shipping is currently Arizona-limited and product shown as plastic online. Editorial hold if glass bottle version is required."
Purely Sedona,Artesian Spring Water 500 mL Case,purely-sedona-artesian-spring-water-500-ml-case,https://shop.purelysedona.com/products/purely-sedona-500ml-artesian-spring-water,provisions,water,all,Things That Improve a Tuesday; Desert Calm,desert clarity / regional water / glass-bottle ritual,3,mid,$39,,,The smaller bottle has the right daily-use logic. Keep only if the format matches the Hessentials glass-bottle standard.,READY_CLAUDE_PREFLIGHT,"Direct product page exists, but shipping is currently Arizona-limited and product shown as plastic online. Editorial hold if glass bottle version is required."
Los Poblanos,Lavender Hand Soap,los-poblanos-lavender-hand-soap,https://shop.lospoblanos.com/products/lavender-hand-soap,home,sink ritual,all,Things That Improve a Tuesday; Sink Ritual; Better Hotel Energy,New Mexico lavender / sink ritual / daily calm,2,mid,,,,"A sink object with a real place behind it. Quiet enough for daily use, specific enough to matter.",READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Los Poblanos,Piñon Bar Soap,los-poblanos-pi-on-bar-soap,https://shop.lospoblanos.com/products/pinon-bar-soap,home,bath ritual,all,Rainy Morning Objects; Small Ritual Objects,New Mexico lavender / sink ritual / daily calm,2,low,$12,,,Woodsy without trying to smell expensive. A small bar with weather in it.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Los Poblanos,Lavender Home Duo,los-poblanos-lavender-home-duo,https://shop.lospoblanos.com/products/home-duo-gift-set,home,sink ritual,all,Better Hotel Energy; Sink Ritual; Useful Beauty,New Mexico lavender / sink ritual / daily calm,2,mid,$52,,,The sink becomes a more considered place without becoming precious.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
Los Poblanos,Lavender On-the-Go Set,los-poblanos-lavender-on-the-go-set,https://shop.lospoblanos.com/products/lavender-on-the-go,travel,personal care,all,Soft Travel; Portable Ritual; Correct Low,New Mexico lavender / sink ritual / daily calm,2,low,$15,,,Travel care that doesn’t look tactical or cosmetic-counter loud.,READY_CLAUDE_PREFLIGHT,Château sourced from direct brand/maker product page where possible. Claude should run incognito + JSON-LD pre-flight before import.
