source_pillar,source_article,article_url,anchor_text,brand,product_name_guess,retailer_url,link_quality,audit_note (context),DIRECT PRODUCT URL FOR SALE,Chateau's Thoughts,csv_price,csv_category
Shop,Chateau Shop Adds 2026-05-14,,Maple Garden Carry-All,Terrain,Maple Garden Carry-All,,clean direct-to-product,obj_id=HS-LIVE-012 | shop_categories=Home; Garden; Utility,https://www.shopterrain.com/shop/maple-garden-carry-all,"This is the kind of object that makes errands and herbs feel connected. Practical, but with enough shape to leave out.",$98,home
Shop,Chateau Shop Adds 2026-05-14,,Rattan Cylinder Basket Planter,Terrain,Rattan Cylinder Basket Planter,,clean direct-to-product,obj_id=HS-LIVE-013 | shop_categories=Home; Garden; Textures,https://www.shopterrain.com/shop/rattan-cylinder-basket-planter-1,A plant pot that softens the room instead of decorating it. The handle detail keeps it from feeling generic.,$48,home
Shop,Chateau Shop Adds 2026-05-14,,Botanical Arch Handle Basket,Terrain,Botanical Arch Handle Basket,,clean direct-to-product,obj_id=HS-LIVE-014 | shop_categories=Home; Garden; Objects,https://www.shopterrain.com/shop/botanical-arch-handle-basket,A little romantic without becoming cottage-core costume. Best used somewhere practical so it does not turn precious.,$68,home
Shop,Chateau Shop Adds 2026-05-14,,Alabax Small Surface Mount,Schoolhouse,Alabax Small Surface Mount,,clean direct-to-product,obj_id=HS-LIVE-015 | shop_categories=Home; Lighting; Fixtures,https://schoolhouse.com/products/alabax-small-surface-mount,"Quiet utility with a little industrial memory. Good lighting should feel found, not installed for content.",$199,home
Shop,Chateau Shop Adds 2026-05-14,,Grant Mirror - Round,Schoolhouse,Grant Mirror - Round,,clean direct-to-product,obj_id=HS-LIVE-016 | shop_categories=Home; Entryway; Bath,https://schoolhouse.com/products/grant-mirror,A mirror with enough presence to anchor an entry without demanding a redesign around it.,$349,home
Shop,Chateau Shop Adds 2026-05-14,,Miller Utility Cart,Schoolhouse,Miller Utility Cart,,clean direct-to-product,obj_id=HS-LIVE-017 | shop_categories=Home; Storage; Utility,https://schoolhouse.com/products/miller-utility-cart,Storage that looks more like furniture than apology. The kind of piece that makes a small space work harder.,$399,home
Shop,Chateau Shop Adds 2026-05-14,,Recycled Paper Bind Grid Notebook,MUJI,Recycled Paper Bind Grid Notebook,,clean direct-to-product,obj_id=HS-LIVE-018 | shop_categories=Home; Desk; Travel,https://www.muji.us/products/recycled-paper-bind-grid-notebook-9s62,"Almost aggressively humble, which is why it works. Good paper for people who actually write things down.",$2.5,home
Shop,Chateau Shop Adds 2026-05-14,,Olive Oil Bottle,Farmhouse Pottery,Olive Oil Bottle,,clean direct-to-product,obj_id=HS-LIVE-019 | shop_categories=Cooking; Kitchen Counter; Ceramics,https://www.farmhousepottery.com/products/olive-oil-bottle-1,A countertop object that changes the pace of cooking. Pouring becomes a small ritual instead of a reach for plastic.,$85,home
Shop,Chateau Shop Adds 2026-05-14,,Silo Garlic Keeper,Farmhouse Pottery,Silo Garlic Keeper,,clean direct-to-product,obj_id=HS-LIVE-020 | shop_categories=Cooking; Pantry; Ceramics,https://www.farmhousepottery.com/products/silo-garlic-keeper,Keeps the garlic visible in the right way. Functional storage with enough warmth to live outside the cabinet.,$75,home
Shop,Chateau Shop Adds 2026-05-14,,Espresso Cup in Milk,Felt + Fat,Espresso Cup in Milk,,clean direct-to-product,obj_id=HS-LIVE-021 | shop_categories=Cooking; Coffee; Ceramics,https://www.feltandfat.com/products/espresso-cup-in-milk,Espresso is small enough that the cup matters. This one feels considered without becoming fussy.,$32,home
Shop,Chateau Shop Adds 2026-05-14,,Coffee Mug in Confetti,Felt + Fat,Coffee Mug in Confetti,,clean direct-to-product,obj_id=HS-LIVE-022 | shop_categories=Cooking; Coffee; Ceramics,https://www.feltandfat.com/products/coffee-mug-in-confetti,"A cheerful glaze that still feels adult. Good for mornings that need one charming thing, not a full personality.",$48,home
Shop,Chateau Shop Adds 2026-05-14,,Pure Flake Sea Salt,Jacobsen Salt Co.,Pure Flake Sea Salt,,clean direct-to-product,obj_id=HS-LIVE-023 | shop_categories=Cooking; Pantry; Finishing,https://jacobsensalt.com/products/pure-flake-finishing-salt,Not a Maldon replacement. A warmer American counterpart with a softer kitchen read.,$15,home
Shop,Chateau Shop Adds 2026-05-14,,Pure Flake Sea Salt Slide Tin,Jacobsen Salt Co.,Pure Flake Sea Salt Slide Tin,,clean direct-to-product,obj_id=HS-LIVE-024 | shop_categories=Cooking; Pantry; Travel,https://jacobsensalt.com/products/pure-flake-sea-salt-slide-tin,"Tiny but useful. A good picnic, travel, or desk-lunch object for people who know salt is not optional.",$8,home
Shop,Chateau Shop Adds 2026-05-14,,The MK Free Board,Material Kitchen,The MK Free Board,,clean direct-to-product,obj_id=HS-LIVE-025 | shop_categories=Cooking; Prep; Tools,https://materialkitchen.com/products/the-mk-free-board,A cutting board should be easy to reach and easy to clean. This keeps the kitchen moving.,$52,home
Shop,Chateau Shop Adds 2026-05-14,,The Angled Board,Material Kitchen,The Angled Board,,clean direct-to-product,obj_id=HS-LIVE-026 | shop_categories=Cooking; Prep; Serving,https://materialkitchen.com/products/the-angled-board,Large enough to be useful and handsome enough to stay out. That is the only reason a board earns counter space.,$120,home
Shop,Chateau Shop Adds 2026-05-14,,KBGV Coffee Maker,Moccamaster,KBGV Coffee Maker,,clean direct-to-product,obj_id=HS-LIVE-027 | shop_categories=Cooking; Coffee; Appliances,https://us.moccamaster.com/products/kbgv,"Excellent coffee without turning the counter into a lab. Durable, understandable, and emotionally warmer than most machines.",$369,home
Shop,Chateau Shop Adds 2026-05-14,,Royal Cinnamon,Burlap & Barrel,Royal Cinnamon,,clean direct-to-product,obj_id=HS-LIVE-028 | shop_categories=Cooking; Pantry; Spices,https://www.burlapandbarrel.com/products/royal-cinnamon,"The kind of pantry upgrade that changes breakfast, baking, and coffee without requiring new equipment.",$10,home
Shop,Chateau Shop Adds 2026-05-14,,Pragati Turmeric,Diaspora Co.,Pragati Turmeric,,clean direct-to-product,obj_id=HS-LIVE-029 | shop_categories=Cooking; Pantry; Spices,https://www.diasporaco.com/products/pragati-turmeric,A small jar that carries actual sourcing intelligence. Better pantry objects do not need to be expensive.,$13,home
Shop,Chateau Shop Adds 2026-05-14,,No.08 Carbon Steel Folding Knife,Opinel,No.08 Carbon Steel Folding Knife,,clean direct-to-product,obj_id=HS-LIVE-030 | shop_categories=Cooking; Picnic; Travel,https://www.opinel-usa.com/products/opinel-no-8-carbon-steel-folding-knife,A humble knife with a real design memory. Better in a picnic basket than another decorative serving tool.,$22,home
Shop,Chateau Shop Adds 2026-05-14,,Triple Jump Small Dark Brown,Dragon Diffusion,Triple Jump Small Dark Brown,,clean direct-to-product,obj_id=HS-LIVE-031 | shop_categories=Accessories; Bags; Travel,https://dragondiffusion.com/products/triple-jump-small-dark-brown-woven-leather-bag-handmade,"The leather softens instead of stiffening with age. Feels carried, not styled.",$450,accessories
Shop,Chateau Shop Adds 2026-05-14,,Triple Jump Small Black,Dragon Diffusion,Triple Jump Small Black,,clean direct-to-product,obj_id=HS-LIVE-032 | shop_categories=Accessories; Bags; Travel,https://dragondiffusion.com/products/triple-jump-small-black-woven-leather-bag-handmade,Black makes the weave less vacation and more everyday. Useful when the outfit needs texture but not color.,$450,accessories
Shop,Chateau Shop Adds 2026-05-14,,"Women's Crossbody Bag in Leather, Black Cherry",Il Bisonte,"Women's Crossbody Bag in Leather, Black Cherry",,clean direct-to-product,obj_id=HS-LIVE-033 | shop_categories=Accessories; Bags; Leather Goods,https://www.ilbisonte.com/en-usa/products/bcr281pv0001pu183gb,Vegetable-tanned leather that will tell on you in the best way. The color has depth without getting precious.,$395,accessories
Shop,Chateau Shop Adds 2026-05-14,,Archive 1970 Crossbody Bag,Il Bisonte,Archive 1970 Crossbody Bag,,clean direct-to-product,obj_id=HS-LIVE-034 | shop_categories=Accessories; Bags; Travel,https://www.ilbisonte.com/en-usa/products/bcr406tcv001bl404gb,"Canvas keeps the heritage from becoming too polished. Feels like travel, errands, and weather.",$445,accessories
Shop,Chateau Shop Adds 2026-05-14,,"Boat and Tote, Zip-Top",L.L.Bean,"Boat and Tote, Zip-Top",,clean direct-to-product,obj_id=HS-LIVE-035 | shop_categories=Accessories; Bags; Travel,https://www.llbean.com/llb/shop/37037?page=boat-and-tote-bag-zip-top,Still correct because it refuses to become precious. The zip top makes it genuinely useful.,$45,accessories
Shop,Chateau Shop Adds 2026-05-14,,Small Rugged Twill Duffle Bag,Filson,Small Rugged Twill Duffle Bag,,clean direct-to-product,obj_id=HS-LIVE-036 | shop_categories=Travel; Bags; Weekend,https://www.filson.com/products/small-rugged-twill-duffle-bag-tan,Looks better after use than it does new. That is the whole travel test.,$495,travel
Shop,Chateau Shop Adds 2026-05-14,,Medium Rugged Twill Duffle Bag,Filson,Medium Rugged Twill Duffle Bag,,clean direct-to-product,obj_id=HS-LIVE-037 | shop_categories=Travel; Bags; Weekend,https://www.filson.com/products/medium-rugged-twill-duffle-bag-tan-1,The carry-on sized answer for people who do not want luggage that looks like a gadget.,$599,travel
Shop,Chateau Shop Adds 2026-05-14,,Large Travel Organizer - Black Onyx,Leatherology,Large Travel Organizer - Black Onyx,,clean direct-to-product,obj_id=HS-LIVE-038 | shop_categories=Travel; Organization; Leather Goods,https://www.leatherology.com/products/large-travel-organizer-black-onyx,Organization that does not look tactical. Travel feels calmer when the useful things are quiet.,$125,travel
Shop,Chateau Shop Adds 2026-05-14,,Large Travel Organizer in Canvas,Leatherology,Large Travel Organizer in Canvas,,clean direct-to-product,obj_id=HS-LIVE-039 | shop_categories=Travel; Organization; Canvas,https://www.leatherology.com/products/large-travel-organizer-in-canvas-natural-canvasblack,A softer lower-cost version that gives up leather depth but keeps the organization logic.,$90,travel
Shop,Chateau Shop Adds 2026-05-14,,Chatelet Air 2.0 Carry-on Plus Spinner,Delsey,Chatelet Air 2.0 Carry-on Plus Spinner,,clean direct-to-product,obj_id=HS-LIVE-040 | shop_categories=Travel; Luggage,https://us.delsey.com/products/401676805-chatelet-air-20-20inch-carry-on-spinner,"One of the few hard-sided suitcases that still has visual warmth. Use sparingly, but it earns its place.",$350,travel
Shop,Chateau Shop Adds 2026-05-14,,Ti-Single 450 Cup,Snow Peak,Ti-Single 450 Cup,,clean direct-to-product,obj_id=HS-LIVE-041 | shop_categories=Travel; Coffee; Outdoor,https://www.snowpeak.com/products/titanium-single-450-cup-mg-043,"A camping object that makes sense in normal life too. Light, durable, and emotionally useful.",$45,travel
Shop,Chateau Shop Adds 2026-05-14,,Ti-Double 450 Mug,Snow Peak,Ti-Double 450 Mug,,clean direct-to-product,obj_id=HS-LIVE-042 | shop_categories=Travel; Coffee; Outdoor,https://www.snowpeak.com/products/titanium-double-450-mug,"For people who want the ritual without burning their hands. Still minimal, but not sterile.",$55,travel
Shop,Chateau Shop Adds 2026-05-14,,Her Socks - Classic White,Le Bon Shoppe,Her Socks - Classic White,,clean direct-to-product,obj_id=HS-LIVE-043 | shop_categories=Women; Accessories; Basics,https://lebonshoppe.com/products/her-socks-mc-cotton-classic-white,A small styling object with disproportionate power. The rib gives even simple shoes a little intention.,$14,womens
Shop,Chateau Shop Adds 2026-05-14,,Her Socks - Dark Tan,Le Bon Shoppe,Her Socks - Dark Tan,,clean direct-to-product,obj_id=HS-LIVE-044 | shop_categories=Women; Accessories; Basics,https://lebonshoppe.com/products/her-socks-mc-cotton-dark-tan,The right sock color can soften the whole outfit. Tan works because it disappears without looking dead.,$14,womens
Shop,Chateau Shop Adds 2026-05-14,,Field-Spec Cotton Heavy Tee - Black,Buck Mason,Field-Spec Cotton Heavy Tee - Black,,clean direct-to-product,obj_id=HS-LIVE-045 | shop_categories=Men; Women; Basics,https://www.buckmason.com/products/black-field-spec-cotton-vintage-surplus-heavy-tee,A T-shirt with enough weight to hold its shape. Basics only work when they do not collapse after one wear.,$62,mens
Shop,Chateau Shop Adds 2026-05-14,,Field-Spec Cotton Heavy Tee - White,Buck Mason,Field-Spec Cotton Heavy Tee - White,,clean direct-to-product,obj_id=HS-LIVE-046 | shop_categories=Men; Women; Basics,https://www.buckmason.com/products/white-field-spec-cotton-vintage-surplus-heavy-tee,White tees are only easy when the fabric has backbone. This one does.,$62,mens
Shop,Chateau Shop Adds 2026-05-14,,Field-Spec Cotton Heavy Tee - Dress Navy,Buck Mason,Field-Spec Cotton Heavy Tee - Dress Navy,,clean direct-to-product,obj_id=HS-LIVE-047 | shop_categories=Men; Women; Basics,https://www.buckmason.com/products/dress-navy-field-spec-heavy-tee,Navy makes the tee feel less gym and more uniform. The weight keeps it honest.,$62,mens
Shop,Chateau Shop Adds 2026-05-14,,A5 Recycled Paper Double Ring Blank Notebook - Dark Grey,MUJI,A5 Recycled Paper Double Ring Blank Notebook - Dark Grey,,clean direct-to-product,obj_id=HS-LIVE-048 | shop_categories=Travel; Desk; Analog,https://www.muji.us/products/recycled-paper-double-ring-blank-notebook-dark-grey-a5-9s62066,"Almost nothing, which is why it belongs. The travel notebook should not feel like a productivity system.",$3.9,travel
